video_id,num_frames,fps,label
000000,662,30.000,accident
000001,702,30.000,accident
000002,360,30.000,accident
000003,233,30.000,accident
000004,159,30.000,accident
000005,214,30.000,accident
000006,217,30.000,accident
000007,212,30.000,accident
000008,183,30.000,accident
000009,237,30.000,accident
000010,240,30.000,accident
000011,305,30.000,accident
000012,251,30.000,accident
000013,305,30.000,accident
000014,251,30.000,accident
000015,175,30.000,accident
000016,173,30.000,accident
000017,173,30.000,accident
000018,173,30.000,accident
000019,173,30.000,accident
000020,172,30.000,accident
000021,149,30.000,accident
000022,173,30.000,accident
000023,175,30.000,accident
000024,173,30.000,accident
000025,174,30.000,accident
000026,217,30.000,accident
000027,184,30.000,accident
000028,282,30.000,accident
000029,189,30.000,accident
000030,166,30.000,accident
000031,173,30.000,accident
000032,104,30.000,accident
000033,192,30.000,accident
000034,219,30.000,accident
000035,264,30.000,accident
000036,210,30.000,accident
000037,114,30.000,accident
000038,217,30.000,accident
000039,151,30.000,accident
000040,221,30.000,accident
000041,194,30.000,accident
000042,226,30.000,accident
000043,108,30.000,accident
000044,614,30.000,accident
000045,2433,30.000,accident
000046,392,30.000,accident
000047,301,30.000,accident
000048,185,30.000,accident
000049,233,30.000,accident
000050,466,30.000,accident
000051,436,30.000,accident
000052,364,30.000,accident
000053,467,30.000,accident
000054,289,30.000,accident
000055,443,30.000,accident
000056,411,30.000,accident
000057,263,30.000,accident
000058,413,30.000,accident
000059,464,30.000,accident
000060,570,30.000,accident
000061,261,30.000,accident
000062,200,30.000,accident
000063,235,30.000,accident
000064,313,30.000,accident
000065,439,30.000,accident
000066,368,30.000,accident
000067,182,30.000,accident
000068,1106,30.000,accident
000069,465,30.000,accident
000070,257,30.000,accident
000071,40,30.000,accident
000072,33,30.000,accident
000073,54,30.000,accident
000074,82,30.000,accident
000075,60,30.000,accident
000076,34,30.000,accident
000077,74,30.000,accident
000078,47,30.000,accident
000079,91,30.000,accident
000080,88,30.000,accident
000081,126,30.000,accident
000082,125,30.000,accident
000083,79,30.000,accident
000084,43,30.000,accident
000085,31,30.000,accident
000086,91,30.000,accident
000087,43,30.000,accident
000088,25,30.000,accident
